"repeat","lengths","index"
1,0.065,1
1,2.04,2
1,5.2700000000000005,3
1,0.02,4
1,0.095,5
1,2.57,6
1,15.44,7
1,6.7700000000000005,8
1,5.965,9
1,4.5,10
1,1.045,11
1,2.985,12
1,1.9000000000000001,13
1,0.16,14
1,3.355,15
1,2.6750000000000003,16
1,0.15,17
1,0.05,18
1,9.455,19
1,7.28,20
1,0.06,21
1,0.055,22
1,12.115,23
1,6.1000000000000005,24
1,9.26,25
1,4.705,26
1,0.245,27
1,0.515,28
1,7.91,29
1,0.095,30
1,0.075,31
1,0.035,32
1,3.87,33
1,3.685,34
1,7.7250000000000005,35
1,0.08,36
1,6.640000000000001,37
1,0.025,38
1,4.865,39
1,1.33,40
1,11.705,41
1,1.545,42
1,6.835,43
1,5.265,44
1,12.775,45
1,0.125,46
1,0.86,47
1,2.105,48
1,0.08,49
1,0.03,50
1,8.105,51
1,3.48,52
1,12.36,53
1,0.045,54
1,0.355,55
1,0.465,56
1,0.445,57
1,0.20500000000000002,58
1,9.83,59
1,5.255,60
1,16.955000000000002,61
2,0.075,1
2,1.5350000000000001,2
2,0.37,3
2,2.065,4
2,14.795,5
2,9.38,6
2,9.565,7
2,0.04,8
2,16.87,9
2,0.195,10
2,0.59,11
2,5.09,12
2,6.5200000000000005,13
2,2.375,14
2,6.97,15
2,0.28,16
2,6.34,17
2,0.12,18
2,9.005,19
2,0.425,20
2,20.47,21
2,3.005,22
2,0.185,23
2,0.015,24
2,0.155,25
2,0.49,26
2,1.9000000000000001,27
2,0.55,28
2,3.13,29
2,1.8900000000000001,30
2,12.290000000000001,31
2,0.155,32
2,16.32,33
2,1.49,34
2,11.25,35
2,3.185,36
2,13.605,37
2,0.115,38
2,8.99,39
2,3.845,40
2,2.96,41
2,0.09,42
2,2.4250000000000003,43
2,0.17,44
2,6.915,45
2,2.46,46
2,19.150000000000002,47
2,1.945,48
2,6.88,49
2,1.37,50
3,10.795,1
3,6.255,2
3,7.12,3
3,3.81,4
3,4.7700000000000005,5
3,3.43,6
3,4.32,7
3,1.72,8
3,0.455,9
3,0.05,10
3,18.635,11
3,0.23500000000000001,12
3,2.58,13
3,4.44,14
3,0.155,15
3,0.025,16
3,1.615,17
3,0.28500000000000003,18
3,18.575,19
3,0.07,20
3,2.855,21
3,4.41,22
3,5.09,23
3,2.9250000000000003,24
3,6.54,25
3,3.775,26
3,8.85,27
3,3.7,28
3,6.245,29
3,2.305,30
3,7.6450000000000005,31
3,4.3,32
3,7.03,33
3,0.085,34
3,0.05,35
3,0.055,36
3,3.65,37
3,0.01,38
3,5.0600000000000005,39
3,2.785,40
3,0.005,41
3,0.005,42
3,0.01,43
3,0.06,44
3,1.225,45
3,0.09,46
3,4.8950000000000005,47
3,0.25,48
3,5.885,49
3,10.385,50
3,7.885,51
3,2.2,52
3,4.1450000000000005,53
3,4.405,54
3,31.855,55
4,0.005,1
4,24.975,2
4,0.35000000000000003,3
4,3.22,4
4,1.425,5
4,3.1,6
4,3.64,7
4,2.025,8
4,0.045,9
4,2.96,10
4,0.09,11
4,0.46,12
4,3.86,13
4,7.45,14
4,0.09,15
4,14.925,16
4,0.155,17
4,0.745,18
4,1.435,19
4,3.265,20
4,1.935,21
4,4.865,22
4,0.03,23
4,0.13,24
4,0.135,25
4,5.39,26
4,7.1000000000000005,27
4,6.805,28
4,0.075,29
4,0.06,30
4,0.065,31
4,1.95,32
4,0.21,33
4,3.9250000000000003,34
