"repeat","lengths","index"
1,109.125,1
1,3.36,2
1,107.305,3
1,20.215,4
2,0.025,1
2,46.165,2
2,17.395,3
2,65.105,4
2,7.995,5
2,26.01,6
2,8.45,7
2,33.88,8
2,19.995,9
2,14.985,10
3,0.305,1
3,30.7,2
3,3.285,3
3,44.87,4
3,12.14,5
3,6.205,6
3,0.04,7
3,0.015,8
3,0.075,9
3,54.775,10
3,8.185,11
3,18.38,12
3,0.05,13
3,0.14,14
3,0.09,15
3,11.065,16
3,7.525,17
3,42.160000000000004,18
4,0.325,1
4,0.01,2
4,74.845,3
4,0.065,4
4,97.04,5
4,0.305,6
4,67.415,7
5,0.145,1
5,0.12,2
5,57.870000000000005,3
5,0.015,4
5,0.015,5
5,13.790000000000001,6
5,2.825,7
5,0.5,8
5,89.38,9
5,6.885,10
5,57.725,11
5,0.51,12
5,10.225,13
6,0.02,1
6,0.015,2
6,0.245,3
6,65.895,4
6,0.2,5
6,173.63,6
7,50.15,1
7,27.015,2
7,16.345,3
7,0.055,4
7,24.66,5
7,15.805,6
7,32.405,7
7,0.085,8
7,0.04,9
7,0.11,10
7,73.33500000000001,11
8,15.01,1
8,9.535,2
8,38.84,3
8,3.42,4
8,68.685,5
8,24.01,6
8,45.980000000000004,7
8,0.2,8
8,34.325,9
9,0.005,1
9,48.620000000000005,2
9,7.45,3
9,2.64,4
9,25.01,5
9,54.995000000000005,6
9,0.08,7
9,12.815,8
9,0.365,9
9,24.445,10
9,0.11,11
9,0.34500000000000003,12
9,12.345,13
9,50.78,14
10,0.005,1
10,35.480000000000004,2
10,0.23,3
10,62.57,4
10,0.065,5
10,50.9,6
10,3.92,7
10,86.83500000000001,8
11,12.24,1
11,9.965,2
11,217.8,3
12,0.005,1
12,0.045,2
12,0.34,3
12,36.315,4
12,0.095,5
12,160.24,6
12,10.515,7
12,0.08,8
12,0.015,9
12,0.045,10
12,0.06,11
12,30.1,12
12,0.33,13
12,1.82,14
13,0.005,1
13,100.43,2
13,0.075,3
13,24.625,4
13,0.04,5
13,100.14,6
13,3.855,7
13,3.6950000000000003,8
13,6.085,9
13,1.055,10
14,0.005,1
14,40.695,2
14,0.195,3
14,199.11,4
15,38.815,1
15,0.025,2
15,0.135,3
15,0.02,4
15,115.435,5
15,0.105,6
15,29.605,7
15,0.39,8
15,55.475,9
16,118.52,1
16,0.01,2
16,0.105,3
16,0.135,4
16,6.565,5
16,0.29,6
16,0.465,7
16,11.63,8
16,67.36,9
16,0.14,10
16,0.125,11
16,0.245,12
16,31.12,13
16,0.19,14
16,3.105,15
17,0.015,1
17,25.84,2
17,8.34,3
17,200.565,4
17,0.255,5
17,4.99,6
18,57.69,1
18,13.33,2
18,41.61,3
18,9.295,4
18,118.08,5
19,0.005,1
19,4.275,2
19,2.275,3
19,53.955,4
19,0.25,5
19,14.565,6
19,3.91,7
19,72.84,8
19,0.11,9
